,recipe_name,Ingredients,Ingredients_alpha
0,"[' Mèchouiya', '']",-   tomates -   poivrons -    ail -   huile  olives -   persile  - cèleri - œuf   -   thon blanc     -   câpres -   citron   -  olives   -   tabel -sel  ,"{'poivrons': 339, 'cèleri': 329, 'olives': 307, 'thon blanc': 679, 'œuf': 0, 'ail': 259, 'tabel': None, 'huile  olives': 979, 'persile': 338, 'sel': 778, 'tomates': 364, 'câpres': 414, 'citron': 240}"
1,"[' Mekbouba', '']",-   tomates - poivrons verts -  piments verts -    ail -   huile -   sel -     carvi  ,"{'huile': 901, 'carvi': 326, 'ail': 259, 'piments verts': 362, 'sel': 778, 'tomates': 364, 'poivrons verts': 339}"
2,"[' Poivrons grillès à la mode de nabeul', '']",-   poivrons   -  piment fort -   tomates -    ail -   huile - œuf   -   olives   -    carvi -   sel  ,"{'poivrons': 339, 'olives': 307, 'huile': 901, 'œuf': 0, 'ail': 259, 'sel': 778, 'tomates': 364, 'piment fort': 362, 'carvi': 326}"
3,"[' poivron rouge cuits en salade', 'slata felfel hmar', '']",-   poivron rouge -   tomates -    ail -    huile -   vinaigre -     poivre noir -     sel  ,"{'huile': 901, 'ail': 259, 'poivron rouge': 339, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'vinaigre': 322}"
4,"[' Salade de carotte cuite', '']",-   carottes -   huile  olives -    ail -    persil -   vinaigre -    poivre rouge -   cumin -   sel -   piment fort    ,"{'cumin': 332, 'carottes': 368, 'ail': 259, 'huile  olives': 979, 'sel': 778, 'poivre rouge': 339, 'piment fort': 362, 'persil': 338, 'vinaigre': 322}"
5,"["" Salade de carotte râpèe à l'orange"", '']",-   carotte - oranges -   eau de fleur  oranger -   sucre     - citron -   sel  ,"{'sucre': 781, 'sel': 778, 'carotte': 368, 'eau de fleur  oranger': 121, 'oranges': 194, 'citron': 240}"
6,"[' Salade de mauve', '']",-   mauve -   persil -   coriandre -    cèleri -    ail -   huile  olives -   poivre rouge -    piment fort   - citron   -   olives   -jus   citron -    sel  ,"{'cèleri': 329, 'coriandre': 254, 'olives': 307, 'ail': 259, 'citron': 240, 'mauve': None, 'huile  olives': 979, 'jus   citron': None, 'sel': 778, 'poivre rouge': 339, 'piment fort': 362, 'persil': 338}"
7,"[' Salade de tomates et poivrons crus', '']",-   poivrons -   tomates -   persil -   vinaigre -    ail -    cumin -   huile  olives -   poivre noir - piment vert -     sel  ,"{'cumin': 332, 'poivrons': 339, 'piment vert': 362, 'ail': 259, 'huile  olives': 979, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'persil': 338, 'vinaigre': 322}"
8,"[' Salade de tomates et poivrons cuits', '']",-   tomates -   poivrons -   piment fort -   persil   -   poivre rouge -    ail -  huile  olives - citrons   -sel  ,"{'poivrons': 339, 'citrons': 240, 'ail': 259, 'huile  olives': 979, 'sel': 778, 'tomates': 364, 'poivre rouge': 339, 'piment fort': 362, 'persil': 338}"
9,"[' Salade de tomates et poivrons frits', '']",- poivrons - piments verts -   tomates - citron -    ail -   cumin  -   poivre noir -   sel -huile    ,"{'cumin': 332, 'poivrons': 339, 'huile': 901, 'ail': 259, 'piments verts': 362, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'citron': 240}"
10,"[' Salade de zaalouk', '']",-   aubergines -   courgettes -   poivrons -   tomates - piments verts -   huile -    ail -   poivre rouge -    sel  ,"{'poivrons': 339, 'huile': 901, 'aubergines': 387, 'ail': 259, 'courgettes': 968, 'piments verts': 362, 'sel': 778, 'tomates': 364, 'poivre rouge': 339}"
11,"[' Tastira aux aubergines', '']",-   aubergines -   pommes de terre -    tomates -  poivrons verts - piment vert -    ail -   huile  olives -   tabel -    poivre noir -sel -huile    ,"{'piment vert': 362, 'pommes de terre': 373, 'huile': 901, 'aubergines': 387, 'ail': 259, 'tabel': None, 'huile  olives': 979, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'poivrons verts': 339}"
12,"[' Tchaktchouka maqliya', 'Ratatouille frite', '']",-   tomates -   poivrons -   oignon   -   huile -  ail -    sel -    poivre rouge  ,"{'poivrons': 339, 'huile': 901, 'ail': 259, 'sel': 778, 'oignon': 348, 'tomates': 364, 'poivre rouge': 339}"
13,"[' Tchaktchouka mechwiya', 'Ratatouille grillèe', '']",-   tomates -   poivrons -  piments verts -  ail -   huile - œufs -    poivre rouge -    sel  ,"{'poivrons': 339, 'œufs': 0, 'huile': 901, 'ail': 259, 'piments verts': 362, 'sel': 778, 'tomates': 364, 'poivre rouge': 339}"
14,"[' Tomates farcies à la mèchouiya', '']",-   tomates   - œufs   ou    persil -sel -   poivrons -   tomates -    ail -   citron   -  olives   -   thon blanc     -   câpres - œuf   -   huile  olives -   tabel -sel  ,"{'poivrons': 339, 'olives': 307, 'œufs': 0, 'thon blanc': 679, 'œuf': 0, 'ail': 259, 'tabel': None, 'huile  olives': 979, 'sel': 778, 'tomates': 364, 'câpres': 414, 'citron': 240}"
15,"['Torchis-mouchi', '']",-   courgettes -    ail -   vinaigre -   huile -    harissa -   carvi -sel  ,"{'huile': 901, 'carvi': 326, 'ail': 259, 'courgettes': 968, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'vinaigre': 322}"
