,recipe_name,Ingredients,Ingredients_alpha
0,"[' Chakhchoukhat bsakra', 'Tajine de viande aux crêpes', '']",-   semouline -   farine -    sel -oignon -huile -eau  -    agneau -   tomates - oignons  s   -     pois chiches   -  smen -   huile -   courgettes -    ail - piment rouge   ou     piment fort   -    poivre rouge -    sel -     poivre noir -    cumin -    carvi -    canelle  ,"{'canelle': 330, 'ail': 259, 'piment rouge': 362, 'semouline': 869, 'carvi': 326, 'cumin': 332, 'farine': 920, 'courgettes': 968, 'huile': 901, 'oignons  s': 348, 'pois chiches': 417, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'poivre rouge': 339, 'eau': 794, 'agneau': 275, 'smen': 60, 'tomates': 364}"
1,"[' Gogot roti "" mosli""', '']",- gigot  agneau -    pommes de terre - poivrons -   tomates -    ail -   beurre -   tabel -   poivre noir -    sel -    curcuma  ,"{'poivrons': 339, 'pommes de terre': 373, 'beurre': 60, 'ail': 259, 'tabel': None, 'gigot  agneau': None, 'curcuma': 341, 'sel': 778, 'poivre noir': 399, 'tomates': 364}"
2,"[' Kabama', '']",- èpaule  agneau -   pommes de terre -      tomate - oignon   -  citron -   huile -   beurre -   safran  -    poivre noir -sel -huile    ,"{'pommes de terre': 373, 'huile': 901, 'tomate': 364, 'beurre': 60, 'safran': 340, 'èpaule  agneau': None, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'citron': 240}"
3,"[' Kebab ', 'Tajine de viande aux pommes de terre frites', '']",-     mouton -   pommes de terre -   oignon   -     persil -    smen -    poivre noir -     cannelle  -    sel -huile    ,"{'pommes de terre': 373, 'huile': 901, 'cannelle': 330, 'mouton': 277, 'smen': 60, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'persil': 338}"
4,"[' Tajine de kebab medfi en sauce', '']",-      mouton -   beurre -   persil -   oignons  s -   vinaigre -    sel -    piment fort    ,"{'beurre': 60, 'oignons  s': 348, 'mouton': 277, 'sel': 778, 'piment fort': 362, 'persil': 338, 'vinaigre': 322}"
5,"["" Mbattens d'artichauts en sauce"", '']",-     veau -   haricots blancs   -     tomate -   tabel -sel -   huile -   artichauts -   viande   - oignon     -   persil - œuf     -   poivre noir -sel - œufs   -   farine -huile    ,"{'farine': 920, 'œufs': 0, 'huile': 901, 'tomate': 364, 'viande': 276, 'tabel': None, 'œuf': 0, 'haricots blancs': 286, 'artichauts': 157, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'persil': 338, 'veau': 270}"
6,"[' Mchimèche', ""Tajine de viande aux croquettes en forme d'abricots"", '']",-     mouton - oignon     -   amandes   -   smen  -   huile -     poivre noir -    cannelle -    sel -   viande   -   amande    - biscottes  -   oignon   -   beurre - blanc  œuf -   poivre noir -   canelle -     sel - jaunes  œuf -   farine -huile    ,"{'amande': 281, 'biscottes': None, 'farine': 920, 'huile': 901, 'beurre': 60, 'viande': 276, 'canelle': 330, 'blanc  œuf': None, 'jaunes  œuf': None, 'cannelle': 330, 'amandes': 281, 'mouton': 277, 'smen': 60, 'sel': 778, 'oignon': 348, 'poivre noir': 399}"
7,"[' Mderbel', 'Ragout de mouton aux aubergines', '']",-     veau - aubergines   -   pois chiches    -   huile - oignons  s   -    ail -   tomates -   vinaigre -  piments verts -   tabel -   poivre rouge -    poivre noir -sel -huile    ,"{'huile': 901, 'aubergines': 387, 'vinaigre': 322, 'ail': 259, 'oignons  s': 348, 'tabel': None, 'pois chiches': 417, 'piments verts': 362, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'poivre rouge': 339, 'veau': 270}"
8,"[' Methaouma ', '']",-     veau  - oignon   -    ail  -   huile -     tomate -   harissa -   tabel -   vinaigre -    sel  ,"{'huile': 901, 'tomate': 364, 'vinaigre': 322, 'ail': 259, 'tabel': None, 'piment rouge ': 362, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'oignon': 348, 'veau': 270}"
9,"[' Mezgueldi', 'Oignons à la viande de conserve', '']",-   oignons -   viande -   graisse de khli' -   persil -   poivre noir -   piment fort   -   sel -le jus de citron  ,"{'le jus de citron': None, 'viande': 276, 'oignons': 348, 'sel': 778, 'poivre noir': 399, 'huile': 901, 'ail': 259, 'carvi': 326, 'poivre rouge': 339, 'coriandre': 254, 'cumin': 332, 'Bœuf': 270, 'piment fort': 362, 'persil': 338}"
10,"[' Mloukhia', '']",-     bœuf  -    huile  olive -   mouloukhia     -   tabel -    ail  -    menthe -     sel   -   laurier  ,"{'tabel': None, 'huile  olive': 979, 'ail': 259, 'mouloukhia': None, 'sel': 778, 'menthe': 262, 'bœuf': 270, 'laurier': 305}"
11,"[' Kebab tunisien', '']",-    agneau  -   foie  agneau - rognons de moutons -   oignons  s -   persil -   huile -     sel -    poivre noir -   safran  ,"{'foie  agneau': None, 'huile': 901, 'oignons  s': 348, 'safran': 340, 'agneau': 275, 'sel': 778, 'poivre noir': 399, 'rognons de moutons': None, 'persil': 338}"
12,"[' Mtaouème (sauce blanche)', '']",-     mouton -   pois chiches   - oignon     -   huile -   smen -    cannelle -     sel -    poivre noir - citron -   viande   -  ail -   smen -   canelle -   poivre noir -   sel - œuf  ,"{'huile': 901, 'œuf': 0, 'viande': 276, 'ail': 259, 'canelle': 330, 'cannelle': 330, 'mouton': 277, 'pois chiches': 417, 'smen': 60, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'citron': 240}"
13,"[' Mtaouème aux amandes', '']",-     mouton -   amandes   -    ail -   smen -   huile -    poivre noir -    cannelle -    sel - citron -   oignon   -   viande   -    cumin -    cannelle -    poivre noir -   sel -    graines  anis vert -    farine - œuf -    amandes   -    ail  ,"{'cumin': 332, 'farine': 920, 'huile': 901, 'œuf': 0, 'viande': 276, 'ail': 259, 'cannelle': 330, 'amandes': 281, 'mouton': 277, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'oignon': 348, 'citron': 240, 'graines  anis vert': None}"
14,"[' Ragout de mouton en sauce piquante', 'Chtèteha lham', '']",-     mouton  -     pois chiches    - oignon     -   smen -piment rouge   -  ail - œufs -    poivre rouge -    sel -    poivre noir -    cannelle -   amandes     ,"{'œufs': 0, 'ail': 259, 'cannelle': 330, 'mouton': 277, 'pois chiches': 417, 'amandes': 281, 'smen': 60, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'poivre rouge': 339, 'piment rouge': 362}"
15,"[' Sfiriya de coroquettes au fromage', '']",-     mouton -   oignon   -   smen -   pois chiches   -    poivre noir -   cannelle -    curcuma -   gruyère   -   pommes de terre -   viande   - œufs -   oignon   -     persil -   beurre -   sel -   poivre noir -   cannelle -farine - œufs -huile    ,"{'farine': 920, 'pommes de terre': 373, 'œufs': 0, 'gruyère': 73, 'viande': 276, 'beurre': 60, 'huile': 901, 'cannelle': 330, 'mouton': 277, 'pois chiches': 417, 'curcuma': 341, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'oignon': 348, 'persil': 338}"
16,"[' Tajine el-mbattane', 'Tajine de mouton aux croquettes de viande hachèe', '']",-    agneau -   beurre - oignons  s    -   tomates -    safran -   pois chiches    -   cannelle -    poivre noir -    sel -   viande   -   pommes de terre -    ail -   oignon   -     persil - œufs -    poivre noir -     cannelle -     sel - œufs -   semouline -huile    ,"{'pommes de terre': 373, 'œufs': 0, 'beurre': 60, 'viande': 276, 'ail': 259, 'oignons  s': 348, 'semouline': 869, 'huile': 901, 'safran': 340, 'cannelle': 330, 'agneau': 275, 'pois chiches': 417, 'sel': 778, 'poivre noir': 399, 'oignon': 348, 'tomates': 364, 'persil': 338}"
17,"[' Tajine el-baryane', '']",-    agneau -    oignons  s -     pois chiches   -   smen -   huile - œufs -   vinaigre -   sel -   poivre noir -    cannelle  ,"{'œufs': 0, 'huile': 901, 'oignons  s': 348, 'cannelle': 330, 'agneau': 275, 'pois chiches': 417, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'vinaigre': 322}"
18,"[' Tajine el-djben', '']",-    agneau -   huile -   oignon   -   gruyère   - œufs -   safran -    poivre noir -     sel  ,"{'œufs': 0, 'huile': 901, 'gruyère': 73, 'safran': 340, 'agneau': 275, 'sel': 778, 'oignon': 348, 'poivre noir': 399}"
19,"[' Tajine kebab', '']",-      mouton -   oignon   -    ail -   beurre -   persil -   poivre rouge -sel -  œufs - citrons    ,"{'œufs': 0, 'citrons': 240, 'beurre': 60, 'ail': 259, 'mouton': 277, 'sel': 778, 'oignon': 348, 'poivre rouge': 339, 'persil': 338}"
20,"[' Tajine el mâadnous', 'Tajine de mouton au persil', '']",-     mouton - oignons  s   -   persil - œufs  -   smen  -   beurre -   vinaigre -   sel -    poivre noir -    cannelle  ,"{'œufs': 0, 'beurre': 60, 'oignons  s': 348, 'cannelle': 330, 'mouton': 277, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'persil': 338, 'vinaigre': 322}"
21,"["" Tajine dâr'ammi"", 'Tajine de mouton aux croquettes de viande hachèe (au fromage)', '']",-     mouton - oignon     -   smen -   pois chiches    -    poivre noir -    sel -   viande   -   pain   -   fromage   -   oignon   -    persil -   poivre noir -   sel -   cannelle - blanc  œuf -huile -beurre  ,"{'huile': 901, 'beurre': 60, 'viande': 276, 'blanc  œuf': None, 'pain': 2, 'mouton': 277, 'pois chiches': 417, 'cannelle': 330, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'oignon': 348, 'fromage': 62, 'persil': 338}"
22,"[' Tajine kebab maghdour aux œufs', '']",-      mouton -   beurre - œufs -   farine -    poivre rouge -   cumin -    piment fort   -sel  ,"{'cumin': 332, 'farine': 920, 'œufs': 0, 'beurre': 60, 'mouton': 277, 'sel': 778, 'poivre rouge': 339, 'piment fort': 362}"
23,"[' Tajine de mouton aux aubergines', '']",-     mouton -   huile -   oignon   - œufs   - œufs   -   fromage   - aubergines -     persil -   safran -    sel -    poivre noir -beurre  ,"{'œufs': 0, 'huile': 901, 'aubergines': 387, 'beurre': 60, 'safran': 340, 'mouton': 277, 'sel': 778, 'oignon': 348, 'fromage': 62, 'poivre noir': 399, 'persil': 338}"
24,"[' Tajine de viande aux artichauts farcis (sauce rouge)', '']",-     mouton -   viande   -    artichauts   - oignons  s - œufs -  pois chiches   -   smen -   persil -    riz -   poivre rouge -    poivre noir -    cannelle -sel -citron  ,"{'riz': 55, 'œufs': 0, 'viande': 276, 'oignons  s': 348, 'cannelle': 330, 'mouton': 277, 'pois chiches': 417, 'artichauts': 157, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'poivre rouge': 339, 'citron': 240, 'persil': 338}"
25,"[' Tajine de viande aux amondes et aux pois chiches', '']",-    agneau -   pois chiches   -   amandes   -  oignons  s -   persil -   beurre -   safran -    poivre noir -   cannelle -    sel -jus   citron  ,"{'beurre': 60, 'oignons  s': 348, 'safran': 340, 'cannelle': 330, 'amandes': 281, 'agneau': 275, 'pois chiches': 417, 'jus   citron': None, 'sel': 778, 'poivre noir': 399, 'persil': 338}"
