,recipe_name,Ingredients,Ingredients_alpha
0,"["" Tajine de viande aux croquettes d'amandes"", 'chbah sefra', '']",-     mouton -   beurre -   sucre   -   sel -    eau de fleur  oranger -     amandes -     sucre     - œufs -   ma zena  ,"{'ma zena': None, 'sucre': 781, 'œufs': 0, 'beurre': 60, 'mouton': 277, 'amandes': 281, 'sel': 778, 'eau de fleur  oranger': 121}"
1,"[' Mrouzia', '']",-      mouton -   raisins     -   amandes   -   oignon   -   miel -   beurre -   poivre noir -   gingembre  -     safran -   cannelle -   sel -huile    ,"{'miel': 315, 'huile': 901, 'beurre': 60, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'amandes': 281, 'mouton': 277, 'raisins': 182, 'sel': 778, 'oignon': 348, 'poivre noir': 399}"
2,"[' Tajine de viande à la courge rouge', '']",-     mouton -   courge rouge - oignon     -    ail -      huile -   safran -    gingembre -    ras lhanout -   cannelle -   poivre noir -sel -   miel  ,"{'miel': 315, 'huile': 901, 'ail': 259, 'gingembre': 333, 'safran': 340, 'cumin': 332, 'sel': 778, 'poivre': 339, 'cannelle': 330, 'coriandre': 254, 'allspice': 375, 'clove': 331, 'piment': 362, 'mouton': 277, 'oignon': 348, 'poivre noir': 399, 'courge rouge': 209}"
3,"["" Tajine de viande aux cigares de pâte d'amande feuilletèe"", ""Sâba' el-arousssa"", '']",-     mouton -   sucre -   oignon   -   smen  -    eau de fleur  oranger -   cannelle -    safran -   sel -    dioul -huile   -   amandes   -   beurre -   amandes   -   sucre   -    cannelle -    eau de fleur  oranger  ,"{'sucre': 781, 'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'huile': 901, 'beurre': 60, 'safran': 340, 'cannelle': 330, 'mouton': 277, 'amandes': 281, 'smen': 60, 'oignon': 348, 'eau de fleur  oranger': 121}"
4,"[' Tajine de viande aux crings et au miel ', '']",-     mouton -    coings -   huile -    smen ou de beurre -     safran  - oignon      -   eau de fleur  oranger -   gingembre -   sel -   coriandre -   poivre blanc -   cannelle -   miel  ,"{'miel': 315, 'coings': 210, 'coriandre': 254, 'huile': 901, 'poivre blanc': 399, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'mouton': 277, 'smen': 60, 'sel': 778, 'oignon': 348, 'eau de fleur  oranger': 121}"
5,"[' Tajine qamama au miel', '']",-     mouton -     oignons   -   miel   -   cannelle -   sel -    gingembre - oignon       ,"{'miel': 315, 'gingembre': 333, 'cannelle': 330, 'mouton': 277, 'sel': 778, 'oignon': 348, 'oignons': 348}"
6,"[' Tajine de viande aux abricots', '']",-    agneau -   abricots -     pois chiches   -   raisins  s   -   sucre -   huile -   sel -   cannelle -   poivre noir -     safran  ,"{'sucre': 781, 'huile': 901, 'safran': 340, 'cannelle': 330, 'agneau': 275, 'pois chiches': 417, 'abricots': 164, 'sel': 778, 'poivre noir': 399, 'raisins  s': 182}"
7,"[' Tajine de viande aux dattes', '']",-     mouton -   dattes -   amandes   -   graines de sèsame -   oignons  s -   beurre -   miel   -   poivre noir  -   safran -   cannelle -   cannelle -   gingembre -   sel  ,"{'miel': 315, 'dattes': 177, 'beurre': 60, 'oignons  s': 348, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'amandes': 281, 'graines de sèsame': None, 'mouton': 277, 'sel': 778, 'poivre noir': 399}"
8,"[' Tajine de viande aux figues', '']",-     mouton -    figues   -   smen -   sucre -   oignon   -   cannelle -    safran -     sel -   amandes   -    eau de fleur  oranger - ècorces  orange  ,"{'sucre': 781, 'figues': 181, 'safran': 340, 'cannelle': 330, 'mouton': 277, 'amandes': 281, 'smen': 60, 'sel': 778, 'oignon': 348, 'ècorces  orange': 122, 'eau de fleur  oranger': 121}"
9,"["" Tajine de viande aux losanges d'amande"", 'Sfiriya de Tlemcen', '']",-     mouton -   smen -   sucre     -   oignon   -    eau de fleur  oranger -   cannelle -     safran -   sel -   amandes   -   sucre     -   eau de fleur  oranger -   cannelle - oeufs -   amandes   -   beurre  ,"{'sucre': 781, 'beurre': 60, 'safran': 340, 'cannelle': 330, 'mouton': 277, 'amandes': 281, 'oeufs': 0, 'smen': 60, 'sel': 778, 'oignon': 348, 'eau de fleur  oranger': 121}"
10,"[' Tajine de viande aux oignons', '']",-    agneau -   oignons  s -   raisins  s   -   beurre -   miel   -   huile -   gingembre -     muscade -     cannelle -   safran -     poivre blanc -sel  ,"{'miel': 315, 'huile': 901, 'beurre': 60, 'muscade': 336, 'poivre blanc': 399, 'oignons  s': 348, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'agneau': 275, 'sel': 778, 'raisins  s': 182}"
11,"[' Tajine de viande aux patates douces', '']",-    agneau -   patates   -   sucre -   huile -   cannelle -   gingembre -   sel -   safran -     eau de fleur  oranger  ,"{'sucre': 781, 'huile': 901, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'agneau': 275, 'sel': 778, 'eau de fleur  oranger': 121, 'patates': 373}"
12,"[' Tajine de viande aux pommes farcies', 'Lham hlou be teffah mahchi', '']",-     mouton -   pommes -   beurre -   sucre     -   oignon   -    eau de fleur  oranger - citron -   raisins   -   cannelle -    safran -   sel -   amandes   -     cannelle     - jaunes  œufs -   eau de fleur  oranger -   sucre    ,"{'sucre': 781, 'beurre': 60, 'jaunes  œufs': None, 'safran': 340, 'cannelle': 330, 'mouton': 277, 'amandes': 281, 'raisins': 182, 'sel': 778, 'oignon': 348, 'pommes': 162, 'citron': 240, 'eau de fleur  oranger': 121}"
13,"[' Tajine ed viande aux pruneaux', '']",-    agneau -   pruneaux   -   amandes   -   graines de sèsame -   miel   -   huile -   beurre - oignon     -   safran -   sel -    gingembre -     poivre blanc -   laurier -       muscade -   cannelle - ècorces  orange  ,"{'miel': 315, 'huile': 901, 'beurre': 60, 'poivre blanc': 399, 'muscade': 336, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'amandes': 281, 'agneau': 275, 'graines de sèsame': None, 'pruneaux': 207, 'sel': 778, 'oignon': 348, 'ècorces  orange': 122, 'laurier': 305}"
14,"[' Tajine de viande aux raisins secs et au miel ', '']",-      mouton -   smen - oignon      -   cannelle -       safran -    sel -    raisins   -   miel -   canelle -   amandes   -   beurre     ,"{'miel': 315, 'beurre': 60, 'canelle': 330, 'safran': 340, 'cannelle': 330, 'mouton': 277, 'amandes': 281, 'raisins': 182, 'smen': 60, 'sel': 778, 'oignon': 348}"
