,recipe_name,Ingredients,Ingredients_alpha
0,"[' Sauce pour couscous ', '']",- smen - huile  -   tomate - safran  - sel  - poivre noir  - pois chiches  ,"{'huile': 901, 'tomate': 364, 'safran': 340, 'pois chiches': 417, 'smen': 60, 'sel': 778, 'poivre noir': 399}"
1,"[' Sauce relevée', '']",-  piment rouge   -     ail    -    huile -     sel  -     cumin  ,"{'cumin': 332, 'huile': 901, 'ail': 259, 'sel': 778, 'piment rouge': 362}"
2,"[' Hrissa', '']",-    piment rouge   -     ail  -     coriandre    -     sel  -     carvi -    huile   ,"{'coriandre': 254, 'huile': 901, 'ail': 259, 'sel': 778, 'piment rouge': 362, 'carvi': 326}"
3,"[' Sauce douce ', '']",- smen - safran   - cannelle  -     poivre noir -     sel - miel ou sucre -  oignon  - eau de fleur  oranger  - écorces   orange   ,"{'miel': 315, 'écorces   orange': 122, 'safran': 340, 'cannelle': 330, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'oignon': 348, 'eau de fleur  oranger': 121}"
4,"[' Sauce pour viande braisée ', '']",- smen - safran  - poivre noir  - cannelle - oignons - persil - jus de citron  - sel  ,"{'safran': 340, 'cannelle': 330, 'persil': 338, 'jus de citron': None, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'oignons': 348}"
5,"[' Sauce rouge pour viande dorée ', '']",- smen - gingembre - poivre rouge - safran  - cumin - sel - oignons  - ail -    coriandre   ,"{'cumin': 332, 'coriandre': 254, 'ail': 259, 'gingembre': 333, 'safran': 340, 'smen': 60, 'sel': 778, 'poivre rouge': 339, 'oignons': 348}"
6,"[' Sauce blonde pour viande dorée ', '']",- smen - safran  - cannelle - sel  - oignon   ,"{'safran': 340, 'cannelle': 330, 'smen': 60, 'sel': 778, 'oignon': 348}"
7,"[' Sauce pour viande sautée', '']",- gingembre  - safran  - sel -     eau  - oignons  - ail  -    coriandre - citrons   - olives    ,"{'coriandre': 254, 'citrons': 240, 'olives': 307, 'ail': 259, 'gingembre': 333, 'safran': 340, 'sel': 778, 'eau': 794, 'oignons': 348}"
8,"[' Sauce pour viande marinée ', '']",- safran  - poivre rouge - cumin  - gingembre  - poivre noir  - ail - cannelle - oignons  - persil  - coriandre  ,"{'cumin': 332, 'coriandre': 254, 'ail': 259, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'persil': 338, 'poivre noir': 399, 'poivre rouge': 339, 'oignons': 348}"
9,"[' Sauce vinaigrée - khmiri ', '']",- beurre  - poivre noir  - sel  - safran - vinaigre - eau  ,"{'beurre': 60, 'safran': 340, 'sel': 778, 'poivre noir': 399, 'eau': 794, 'vinaigre': 322}"
10,"[' Sauce tomate ', '']",-    tomates  -       tomate  -    beurre  -     sel  -     poivre noir  -    persil -     thym     -     laurier      -  oignons  s    -     ail -    sucre     ,"{'sucre': 781, 'beurre': 60, 'tomate': 364, 'ail': 259, 'oignons  s': 348, 'sel': 778, 'poivre noir': 399, 'thym': 269, 'tomates': 364, 'persil': 338, 'laurier': 305}"
