,recipe_name,Ingredients,Ingredients_alpha
0,"[' Boulettes de kefta aux oeufs ', '']",-   kefta  -   beurre  -   poivre    -  piment fort    -sel  - œufs  ,"{'piment fort': 362, 'viande': 276, 'oignon': 348, 'graisse': None, 'persil': 338, 'sel': 778, 'poivron noir': 362, 'poivre': 339, 'œufs': 0, 'beurre': 60}"
1,"[' Brochettes de kouah ', '']",-   foie  -   graisse  -    cumin  -    poivre noir  -    sel  -   piment fort     ,"{'graisse': None, 'piment fort': 362, 'poivre noir': 399, 'foie': None, 'cumin': 332, 'sel': 778}"
2,"[' Bnadaqs ', '']", -   viande  -   huile  -    ail -     persil  - œuf  -    tabel  -    poivre    -    poivre noir  -    sel  ,"{'œuf': 0, 'persil': 338, 'poivre noir': 399, 'sel': 778, 'ail': 259, 'poivre': 339, 'viande': 276, 'tabel': None, 'huile': 901}"
3,"[' Boulettes de kefta aux navets ', '']",-     mouton    -   persil    -    ail  - oignons  s    -     mie de pain  - œufs -   farine  -   navets  -   poivre   -    sel    -   tomates  -     tomate  -  sel  -   poivre noir  -   beurre  -    ail  -   sucre  -   laurier  -   thym  ,"{'thym': 269, 'persil': 338, 'poivre noir': 399, 'beurre': 60, 'sucre': 781, 'ail': 259, 'poivre': 339, 'tomates': 364, 'œufs': 0, 'laurier': 305, 'mie de pain': 2, 'navets': 358, 'sel': 778, 'farine': 920, 'mouton': 277, 'tomate': 364, 'oignons  s': 348}"
4,"[' Boulfaf', '']",- foie de mouton ou  agneau  ou    veau -sel - crèpine de mouton -    cumin -    piment fort    ,"{'piment fort': 362, 'foie de mouton': None, 'crèpine de mouton': None, 'cumin': 332, 'sel': 778}"
5,"[' Brochettes de Kefta', '']",-   viande -   graisse -oignon      -   persil -   coriandre -   cumin -   ras lhanout -   piment fort   -   poivre noir -sel  ,"{'graisse': None, 'piment fort': 362, 'coriandre': 254, 'persil': 338, 'poivre noir': 399, 'cumin': 332, 'gingembre': 333, 'sel': 778, 'poivre': 339, 'cannelle': 330, 'allspice': 375, 'clove': 331, 'piment': 362, 'viande': 276, 'oignon': 348}"
6,"[' Brochettes de foie de veau', '']",-   foie de veau -   graisse -sel -poivre noir -cumin  ,"{'graisse': None, 'poivre noir': 399, 'foie de veau': None, 'cumin': 332, 'sel': 778}"
7,"[' Brochettes de Kebab', '']",-   viande -   graisse - oignon     -   persil -    sel -poivron noir -    piment fort    ,"{'graisse': None, 'piment fort': 362, 'persil': 338, 'poivron noir': 362, 'viande': 276, 'sel': 778, 'oignon': 348}"
8,"[' Brochettes de cœur de veau', '']",- cœur de veau -    poivre   -    cumin -    piment fort   -sel    ,"{'piment fort': 362, 'poivre': 339, 'cœur de veau': None, 'cumin': 332, 'sel': 778}"
9,"[' Brochettes Tunisiennes', '']",-    agneau -   foie  agneau - rognons de mouton - rognons blancs de mouton -   graisse de queue  agneau - oignons - tomates - poivrons -   persil -poivre noir -sel -citron  ,"{'rognons blancs de mouton': None, 'graisse de queue  agneau': None, 'persil': 338, 'poivre noir': 399, 'oignons': 348, 'citron': 240, 'agneau': 275, 'tomates': 364, 'foie  agneau': None, 'rognons de mouton': None, 'poivrons': 339, 'sel': 778}"
10,"[' Cœur de veau en sauce', '']",- cœurs de veau - oignons     -   huile - piment     -   canelle -   poivre   -    ail -    poivre noir -    sel -   olives      ,"{'cœurs de veau': None, 'poivre noir': 399, 'oignons': 348, 'poivre': 339, 'ail': 259, 'piment': 362, 'canelle': 330, 'sel': 778, 'olives': 307, 'huile': 901}"
11,"[' Kefta mchermla', '']",-   kefta -   oignons  s -   beurre -   safran -   poivre   -    piment fort   -    gingembre  -   cumin -    sel - citron -     persil -     coriandre  ,"{'safran': 340, 'piment fort': 362, 'viande': 276, 'oignon': 348, 'graisse': None, 'persil': 338, 'sel': 778, 'poivron noir': 362, 'citron': 240, 'gingembre': 333, 'coriandre': 254, 'poivre': 339, 'cumin': 332, 'beurre': 60, 'oignons  s': 348}"
