,recipe_name,Ingredients,Ingredients_alpha
0,"[' Chorba berkoukés ', 'Soupe aux petits plombs', '']",-      mouton -      plombs -    tomates -  oignons  s   -    coriandre  -    persil  -    céleri  -    menthe rouge  ou menthe sauce -    smen  -    huile  -    poivre rouge -    poivre noir -    sel -  pommes de terre   -  carotte -   courgettes - navet -      poie chiches   -      fèves  -     piment fort    ,"{'coriandre': 254, 'pommes de terre': 373, 'céleri': 329, 'semoule': 869, 'semouline': 869, 'sel': 778, 'persil': 338, 'navet': 358, 'courgettes': 968, 'huile': 901, 'oignons  s': 348, 'mouton': 277, 'poivre noir': 399, 'fèves': 284, 'poivre rouge': 339, 'poie chiches': 417, 'menthe rouge': None, 'smen': 60, 'carotte': 368, 'tomates': 364, 'piment fort': 362}"
1,"[' chorba frik ', 'soupe au blé vert concassé ', '']",-      mouton -    tomates  -      tomate  -  oignons  s -     céleri  -    coriandre -  piment vert  -      pois chiches    -    smen  -    huile  -     poivre rouge -     poivre noir  -   frik  ,"{'piment vert': 362, 'coriandre': 254, 'huile': 901, 'tomate': 364, 'frik': None, 'oignons  s': 348, 'mouton': 277, 'pois chiches': 417, 'smen': 60, 'céleri': 329, 'poivre noir': 399, 'tomates': 364, 'poivre rouge': 339}"
2,"[' Chorba au poulet ', '']",-  poulet -    huile  olive  -  poireaux  -    vermicelles  -      tomate -     persil  -    céleri  -     poivre noir  - sel  ,"{'poireaux': 345, 'tomate': 364, 'poulet': 272, 'huile  olive': 979, 'vermicelles': 484, 'céleri': 329, 'poivre noir': 399, 'sel': 778, 'persil': 338}"
3,"[' Chorba mqafta ', 'Soupe aux petits Pâtes', '']",-     mouton  -   huile -    smen - oignon      - pomme de terre    -     pois    -   pois chiches     -   tomates   -   courgettes  -   coriandre -   menthe  -   poivre rouge -    poivre noir -  cannelle  -  carvi -   sel -     pâtes ou de vermicelles - citron   ,"{'pomme de terre': 373, 'coriandre': 254, 'pâtes': 484, 'huile': 901, 'menthe': 262, 'citron': 240, 'cannelle': 330, 'mouton': 277, 'pois chiches': 417, 'courgettes': 968, 'smen': 60, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'tomates': 364, 'poivre rouge': 339, 'pois': 288, 'carvi': 326}"
4,"['chorba aux gombos ', '']",-      gombos -     fèves    -   oignons    -   graisse de khli'  -   viande -    poivre rouge -    piment fort   -    sel -    eau   ,"{'gombos': 347, 'eau': 794, 'viande': 276, 'sel': 778, 'fèves': 284, 'huile': 901, 'ail': 259, 'carvi': 326, 'poivre rouge': 339, 'poivre noir': 399, 'coriandre': 254, 'cumin': 332, 'Bœuf': 270, 'piment fort': 362, 'oignons': 348}"
5,"['Chorba à la rechta', '']",-   rechta -   tomates -   viande   -   pois chiches    -     persil -   céleri  -   huile -sel -   fèves   -     pois    ,"{'huile': 901, 'viande': 276, 'persil': 338, 'pois chiches': 417, 'céleri': 329, 'sel': 778, 'fèves': 284, 'tomates': 364, 'pois': 288, 'rechta': None}"
6,"['Chorba rouge tunisienne ', '']",-    agneau ou de veau  -   tomates -   huile  -   vermicelles  -   céleri -   persil     -   tabel -    poivre noir -    sel   ,"{'huile': 901, 'tabel': None, 'vermicelles': 484, 'agneau': 275, 'céleri': 329, 'poivre noir': 399, 'sel': 778, 'tomates': 364, 'persil': 338}"
7,"[""Chorba à la tête d'agneau "", '']",-    agneau -  huile  olive  -    harissa -   poivre noir  -   vinaigre -   mermez  - œuf  -   sel -   eau   ,"{'œuf': 0, 'huile  olive': 979, 'agneau': 275, 'piment rouge ': 362, 'ail': 259, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'poivre noir': 399, 'mermez': None, 'eau': 794, 'vinaigre': 322}"
8,"['Dchicha tunisienne', '']",-  orge -    agneau  -     tomate  -   huile  - oignon     -    harissa -   tabel -    poivre noir  -    sel -    curcuma -  gingembre  -   eau  -jus   citron   ,"{'huile': 901, 'tomate': 364, 'tabel': None, 'gingembre': 333, 'orge': 51, 'jus   citron': None, 'agneau': 275, 'piment rouge ': 362, 'ail': 259, 'coriandre ': 254, 'sel': 778, 'carvi ': 326, ' huile ': 901, 'curcuma': 341, 'oignon': 348, 'poivre noir': 399, 'eau': 794}"
9,"[' Artichauts farcis ', '']", -     agneau    -    artichauts    -    beurre  -    huile  -     farine  -     lait  -    gruyère    -    oignon   -  œuf    - poivre noir  - sel  -    persil     ,"{'farine': 920, 'huile': 901, 'beurre': 60, 'gruyère': 73, 'œuf': 0, 'agneau': 275, 'artichauts': 157, 'sel': 778, 'oignon': 348, 'lait': 88, 'poivre noir': 399, 'persil': 338}"
10,"["" Hrira au khli'"", '']",-   graisse de khli' -     fèvettes -   farine -   riz -   coriandre -    poivre rouge -   piment fort   -sel -jus   citron -   eau  ,"{'farine': 920, 'coriandre': 254, 'riz': 55, 'fèvettes': 284, 'eau': 794, 'jus   citron': None, 'sel': 778, 'huile': 901, 'ail': 259, 'carvi': 326, 'poivre rouge': 339, 'poivre noir': 399, 'cumin': 332, 'Bœuf': 270, 'piment fort': 362}"
11,"[' Harira de fès', 'Soupe de levain ', '']",-    agneau -   tomates -     pois chiches     -   oignon    -   smen -   huile  -   riz  -    levain -   coiandre  -   safran -    sel -    poivre noir  ,"{'riz': 55, 'huile': 901, 'coiandre': 254, 'safran': 340, 'agneau': 275, 'pois chiches': 417, 'smen': 60, 'sel': 778, 'oignon': 348, 'farine': 920, 'vinaigre': 322, 'pain': 2, 'eau': 794, 'poivre noir': 399, 'tomates': 364}"
12,"[' Harira de Tlemcen ', 'soupe au levain ', '']",-     mouton  -   tomates - oignon     -   pois chiches    -     lentilles  -     févettes - pomme de terre    -   courgettes -   coriandre  -   farine  -   menthe  -   céleri  -   safran  -    poivre noir  -  cannelle  -   sel -   carvi -   smen -   huile -   riz - citron -   vinaigre  -  eau   ,"{'coriandre': 254, 'céleri': 329, 'menthe': 262, 'carvi': 326, 'farine': 920, 'lentilles': 429, 'safran': 340, 'cannelle': 330, 'courgettes': 968, 'citron': 240, 'vinaigre': 322, 'huile': 901, 'mouton': 277, 'pois chiches': 417, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'eau': 794, 'pomme de terre': 373, 'riz': 55, 'févettes': 284, 'smen': 60, 'tomates': 364}"
13,"[' Harira traditionnelle ', '']",-     mouton ou de bœuf  -   oignon   -   pois chiches    -   smen -    safran  -  gingembre  -   poivre noir -sel -   eau  -    tomates -     coriandre  -  riz  -   persil -jus de  citrons  -   levain - œuf  -   sel  ,"{'coriandre': 254, 'riz': 55, 'œuf': 0, 'gingembre': 333, 'safran': 340, 'mouton': 277, 'pois chiches': 417, 'smen': 60, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'jus de  citrons': None, 'tomates': 364, 'eau': 794, 'farine': 920, 'vinaigre': 322, 'pain': 2, 'persil': 338}"
14,"[' Potage blac constantinois ', 'Djari byad', '']",-   poulet -     mouton -   beurre  -   oignon    -  riz  - jaune de  œuf  -le jus   citron -   persil  -    sel -    poivre noir   ,"{'le jus   citron': None, 'riz': 55, 'beurre': 60, 'poulet': 272, 'mouton': 277, 'jaune de  œuf': None, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'persil': 338}"
15,"[' Soupe de poissons (1) ', 'chorba hout ', '']",-   poisson   -   tomates -    ail - oignon      - pomme de terre - carotte -   céleri  -    persil -    coriandre  -   laurier  -   thym  -   huile  olive -   sel -    poivre noir -   safran  - piment rouge     ,"{'pomme de terre': 373, 'coriandre': 254, 'ail': 259, 'huile  olive': 979, 'safran': 340, 'poisson': 151, 'céleri': 329, 'oignon': 348, 'carotte': 368, 'thym': 269, 'tomates': 364, 'sel': 778, 'poivre noir': 399, 'piment rouge': 362, 'persil': 338, 'laurier': 305}"
16,"[' Soupe de poissons (2)', '']",-   poissons   - œufs  -  huile  olive -   vermicelles  -   tomates    - pommes de terre -   persil  -   céleri -    poivre noir  -sel - citron  -    eau   ,"{'poissons': 151, 'œufs': 0, 'pommes de terre': 373, 'huile  olive': 979, 'vermicelles': 484, 'céleri': 329, 'poivre noir': 399, 'sel': 778, 'tomates': 364, 'eau': 794, 'citron': 240, 'persil': 338}"
17,"[' Soupe de poissons (3)', '']",-   poissons -    ail - oignon  -   laurier -   cumin    -   poivre rouge  -   huile -    poivre noir  -    sel  ,"{'cumin': 332, 'poissons': 151, 'huile': 901, 'ail': 259, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'poivre rouge': 339, 'laurier': 305}"
