Unnamed: 0,recipe_name,Ingredients,Ingredients_alpha,eng_Ingredients_alpha,Ingredients_string,pays
3,"[' Bekbouka aux pommes de terre', '']",- bekboukas  -   pois chiches   -    pommes de terre - oignon     -   tomates -   huile -    persil -    poivre noir -   poivre rouge -    sel -tripes      - fressure   -   pois chiches   - oignon     -   riz -   piment fort   -   persil -   coriandre -   poivre rouge -    poivre noir -    sel  ,"{'bekboukas': 276, 'pois chiches': 417, 'pommes de terre': 373, 'oignon': 348, 'tomates': 364, 'huile': 901, 'persil': 338, 'poivre noir': 399, 'poivre rouge': 339, 'sel': 778, 'tripes': 276, 'fressure': 276, 'riz': 55, 'piment fort': 362, 'coriandre': 254}","{'meat': 276, 'chickpea': 417, 'potato ': 373, 'onion': 348, 'tomato': 364, 'cooking oil': 901, 'parsley': 338, 'white pepper': 399, 'pepper': 339, 'salt': 778, 'meat': 276, 'meat': 276, 'rice': 55, 'capsicum ': 362, 'coriander ': 254}","'meat'  ,   'chickpea'   ,    'potato' , 'onion'     ,   'tomato' ,   'cooking oil' ,    'parsley' ,    'white pepper'  ,  'pepper'  ,    'salt' , 'meat' , 'meat'   ,   'rice'  , 'capsicum'  ,  'coriander'     ",ALGERIE
5,"[' Boyau farci en sauce', 'Dolma mesrane bel-djelbana', '']",-   intestins   -      pois   -   carottes -   smen -   huile -     coriandre - oignons   -    poivre noir -    curcuma -    cannelle -    sel -   huile  -   beurre -   viande rouge   - oignon     -   persil - œufs -   riz -    poivre noir -    cannelle -    sel  ,"{'intestins': 276, 'pois': 288, 'carottes': 368, 'smen': 60, 'huile': 901, 'coriandre': 254, 'oignons': 348, 'poivre noir': 399, 'curcuma': 341, 'cannelle': 330, 'sel': 778, 'beurre': 60, 'viande rouge': 276, 'oignon': 348, 'persil': 338, 'œufs': 0, 'riz': 55}","{'meat': 276, 'soybean ': 288, 'carrot ': 368, 'butter': 60, 'cooking oil': 901, 'coriander ': 254, 'onion': 348, 'pepper': 399, 'turmeric': 341, 'cinnamon ': 330, 'salt': 778, 'butter': 60, 'meat': 276, 'onion': 348, 'parsley': 338, 'egg': 0, 'rice': 55}  ","'meat' ,   'soybean',   'carrot' ,   'butter' , 'cooking oil' ,     'coriander' , 'onion' ,   'pepper' , 'turmeric' ,    'cinnamon'  ,    'salt' ,   'cooking oil'  ,   'butter' ,   'meat' , 'onion' ,   'pepper' , 'egg',   'rice'  ",ALGERIE
6,"[' Boyau farci en sauce piquante', 'Dolmz mesranr be dersa', '']",- intestin    -   pois chiches   -   smen -   huile -   viande rouge   -   persil -    cannelle -   riz - œuf -   poivre rouge - piment rouge   -    cumin -    ail -   sel  ,"{'intestin': 276, 'pois chiches': 417, 'smen': 60, 'huile': 901, 'viande rouge': 276, 'persil': 338, 'cannelle': 330, 'riz': 55, 'œuf': 0, 'poivre rouge': 339, 'piment rouge': 362, 'cumin': 332, 'ail': 259, 'sel': 778}","{'meat': 276, 'chickpea': 417, 'butter ': 60, 'cooking oil': 901, 'meat': 276, 'parsley': 338, 'cinnamon ': 330, 'rice': 55, 'egg': 0, 'pepper ': 339, 'capsicum ': 362, 'cumin': 332, 'garlic ': 259, 'salt': 778}  ","'meat' , 'chickpea'  , 'butter' ,   'cooking oil' ,   'meat'  ,   'parsley' ,    'cinnamon' ,   'rice' , 'egg' ,  'pepper' , 'capsicum'  ,    'cumin' ,    'garlic' ,   'salt'  ",ALGERIE
7,"["" Cervelle d'agneau en sauce"", 'Tajine el-mokh', '']",- crevelles    -  ail -   huile - pommees de terre   -   piment fort   -   poivre rouge -   cumin -    sel - œufs  ,"{'crevelles': 142, 'ail': 259, 'huile': 901, 'pommees de terre': 373, 'piment fort': 362, 'poivre rouge': 339, 'cumin': 332, 'sel': 778, 'œufs': 0}","{'prawn ': 142, 'garlic ': 259, 'cooking oil': 901, 'potato ': 373, 'capsicum ': 362, 'pepper': 339, 'cumin': 332, 'salt': 778, 'egg ': 0}","  'prawn'  , 'garlic' ,    'cooking oil' ,  'potato' ,      'capsicum' ,   'pepper' ,   'cumin' ,   'salt' , 'egg' ",ALGERIE
10,"[' Foie en sauce rouge', 'kebsa marqa hamra', '']",- foie    -   tomates -   oignon   -   huile -   persil -jus   citron -    sel -   cumin -   poivre rouge -     poivre noir  ,"{'foie': 276, 'tomates': 364, 'oignon': 348, 'huile': 901, 'persil': 338, 'jus   citron': 240, 'sel': 778, 'cumin': 332, 'poivre rouge': 339, 'poivre noir': 399}","{'meat': 276, 'tomato': 364, 'onion': 348, 'cooking oil': 901, 'parsley': 338, 'lemon': 240, 'salt': 778, 'cumin': 332, 'pepper': 339, 'white pepper': 399} ","   'meat', 'tomato' , 'onion' ,'cooking oil' , 'parsley' , 'lemon'  , 'salt'  , 'cumin' , 'pepper' ,'white pepper'",ALGERIE
14,"[' Langue de veau en sauce tomate', 'lsène b-tomatich', '']",- langue   - oignon     -   clous de grifole - bouquet garni - persil -    poivre noir -   sel -   tomates -      tomates -   beurre -    sel -    poivre noir -   persil -    thym     -    laurier     - oignons  s   -    ail -   sucre  ,"{'langue': 276, 'oignon': 348, 'clous de grifole': 331, 'carottes': 368, 'navet': 358, 'poireau': 345, 'céleri': 329, 'persil': 338, 'poivre noir': 399, 'sel': 778, 'tomates': 364, 'beurre': 60, 'thym': 269, 'laurier': 305, 'oignons  s': 348, 'ail': 259, 'sucre': 781}","{'meat': 276, 'onion': 348, 'clove ': 331, 'carrot': 368, 'turnip': 358, 'leek': 345, 'celery': 329, 'parsley': 338, 'white pepper': 399, 'salt': 778, 'tomato': 364, 'butter ': 60, 'thyme ': 269, 'laurel ': 305, 'onion': 348, 'garlic ': 259, 'sugar ': 781}"," 'meat' , 'onion' , 'clove' , 'turnip' , 'leek' , 'celery' , 'parsley' , 'white pepper' , 'salt' , 'tomato' , 'butter' , 'thyme' , 'laurel' , 'onion' , 'garlic' , 'sugar'",ALGERIE
19,"["" Tête d'agneau en sauce"", 'Hergma', '']", - tete    -   oignon   -    ail -   huile -   pois chiches   -   tomates -   persil -    poivre rouge -    cumin  -    poivre noir -   sel  ,"{'tete': 276, 'oignon': 348, 'ail': 259, 'huile': 901, 'pois chiches': 417, 'tomates': 364, 'persil': 338, 'poivre rouge': 339, 'cumin': 332, 'poivre noir': 399, 'sel': 778}","{'meat': 276, 'onion': 348, 'garlic': 259, 'cooking oil': 901, 'chickpea': 417, 'tomato': 364, 'parsley': 338, 'pepper': 339, 'cumin': 332, 'pepper': 399, 'salt': 778}"," 'meat' , 'onion' , 'garlic' , 'cooking oil' , 'chickpea' , 'tomato' , 'parsley' , 'pepper' , 'cumin' , 'pepper' , 'salt' ",ALGERIE
21,"[' Tripes aux navets', 'Douwara be left ', '']",-tripe      - fressure    -   navets -  ail -   pois chiches   -   huile -      tomates -   poivre rouge -    poivre noir -   sel - piment rouge     ,"{'tripe': 276, 'fressure': 276, 'navets': 358, 'ail': 259, 'pois chiches': 417, 'huile': 901, 'tomates': 364, 'poivre rouge': 339, 'poivre noir': 399, 'sel': 778, 'piment rouge': 362}","{'meat': 276, 'meat': 276, 'turnip ': 358, 'garlic': 259, 'chickpea': 417, 'cooking oil': 901, 'tomato': 364, 'pepper': 339, 'white pepper': 399, 'salt': 778, 'capsicum ': 362}  ","'meat' , 'meat' , 'turnip' , 'garlic' , 'chickpea' , 'cooking oil' , 'tomato' , 'pepper', 'white pepper' , 'salt' , 'capsicum'      ",ALGERIE
11,"[' Bourak aux anchois', '']",-   dioul -    anchois  -    ail -   tomates -   poivrons verts -   huile - blanc  oeuf  -    carvi -    sel -huile    ,"{'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'anchois': 720, 'ail': 259, 'tomates': 364, 'poivrons verts': 339, 'huile': 901, 'blanc  oeuf': 985, 'carvi': 326}","{'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'anchovy': 720, 'garlic ': 259, 'tomato': 364, 'pepper ': 339, 'cooking oil': 901, 'egg white': 985, 'caraway ': 326} ","'semolina' , 'anchovy' , 'garlic','tomato' , 'pepper' , 'cooking oil' ,'egg white' , 'caraway','cooking oil' ,'flour','water' , 'salt'",ALGERIE
12,"[' Bourak annabi ', '']",-   dioul -   viande    - œufs  -   oignon   -   beurre  -   persil -poivre noir -sel -harissa -huile     ,"{'semouline': 869, 'farine': 920, 'sel': 778, 'water': 794, 'viande': 276, 'œufs': 0, 'oignon': 348, 'beurre': 60, 'persil': 338, 'poivre noir': 399, 'piment rouge ': 362, 'ail': 259, 'coriandre ': 254, 'carvi ': 326, ' huile ': 901, 'huile': 901}","{'semolina ': 869, 'flour': 920, 'salt': 778, 'water': 794, 'meat': 276, 'egg': 0, 'onion': 348, 'butter': 60, 'parsley'; 338, 'white pepper': 399, 'capsicum ': 362, 'garlic': 259, 'coriander ': 254, 'caraway  ': 326, ' cooking oil ': 901, 'cooking oil': 901}  ","'semolina' , 'meat' , 'egg' , 'onion' , 'butter' , 'parsley' ,'white pepper' , 'capsicum' ,'cooking oil' ,'flour','water' ,'salt' ,'garlic','coriander', 'caraway', 'cooking oil'",ALGERIE
